candidato_id,anno,nombre_candidato,numero_de_votos,nombre_distrito,nombre_normalizado,PARTIDO_CI
GOB-00042-2184a251a9054ee8b2efed89007efa85,2021,Clara Luz Flores Carrales,"9,102",16. Apodaca,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00043-f356197447f14622aec2291180eedfc0,2021,Fernando Alejandro Larrazabal Breton,"11,484",7. Apodaca,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00044-ac7aaef0e0bf45c9b79fa5d760e45bbc,2021,Samuel Alejandro García Sepúlveda,"26,161",7. Apodaca,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00045-7f0b1878ed0545fcbabbffaf65d1c5e7,2021,Carolina Maria Garza Guerra,269,7. Apodaca,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00046-352c1fb9e8de4e2587731f431e320e84,2021,Virginia Daney Siller Tristan,187,7. Apodaca,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00047-10633498b96748edb59f59303c3f3507,2021,Emilio Jacques Rivera,491,7. Apodaca,emilio jacques rivera,Fuerza por Mexico
GOB-00048-e92ff6ed5eb34e04b4cdb08a4ee71931,2021,Adrian Emilio De La Garza Santos,"19,621",7. Apodaca,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00049-8519882903c34cd99ddc7516992f2cfe,2021,Clara Luz Flores Carrales,"9,158",7. Apodaca,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00050-d7250fa5422344cb88dd5e9d2fec1169,2021,Fernando Alejandro Larrazabal Breton,"9,067",2. Monterrey,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00051-cfd252289a2e442a8b801c83888b9958,2021,Samuel Alejandro García Sepúlveda,"23,056",2. Monterrey,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00052-656ea7bd77e14ca884442d13b11d2062,2021,Carolina Maria Garza Guerra,194,2. Monterrey,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00053-3a5b910c7861445cbd7094560141fb3d,2021,Virginia Daney Siller Tristan,111,2. Monterrey,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00054-7b295b2a87ce48ab9b052d8c5f952b02,2021,Emilio Jacques Rivera,456,2. Monterrey,emilio jacques rivera,Fuerza por Mexico
GOB-00055-fe7a3fc6999148398c0a6948a85cf02d,2021,Adrian Emilio De La Garza Santos,"28,329",2. Monterrey,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00056-b5af9649052e410783ee7aabb73a6a72,2021,Clara Luz Flores Carrales,"9,749",2. Monterrey,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00057-1d3c5afcb5ab4986a2319baf617d6ed6,2021,Fernando Alejandro Larrazabal Breton,"15,771",5. Apodaca,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00058-380ff7270fd34a7d8d12474a5bd0a930,2021,Samuel Alejandro García Sepúlveda,"33,951",5. Apodaca,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00059-ebdba0cd2aee41b5adab74cb4c828d15,2021,Carolina Maria Garza Guerra,372,5. Apodaca,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00060-a80db0fe35b1487fba24dd4271b34ed6,2021,Virginia Daney Siller Tristan,234,5. Apodaca,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00061-bb6d3c1f59f3477b930f975189f723cc,2021,Emilio Jacques Rivera,583,5. Apodaca,emilio jacques rivera,Fuerza por Mexico
GOB-00062-1430cac5ceb6461ab6508fc2ed7447b6,2021,Adrian Emilio De La Garza Santos,"23,706",5. Apodaca,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00063-44e3e1354f27480883d67f0e0fea6fdd,2021,Clara Luz Flores Carrales,"11,364",5. Apodaca,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00064-c1b7cb2680444f93bb7d5b8798e9c22f,2021,Fernando Alejandro Larrazabal Breton,"18,750",24. Linares,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00065-651836ddfcfd460c9ff47c4b4eadcc8c,2021,Samuel Alejandro García Sepúlveda,"24,033",24. Linares,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00066-f2a2498eb3a44092be1dc8de3b6e6b6a,2021,Carolina Maria Garza Guerra,291,24. Linares,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00067-e9151551db5a4a4388e57149f6c5b7c4,2021,Virginia Daney Siller Tristan,549,24. Linares,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00068-ecc31c4c92a7460ba4aa04c05dd5328b,2021,Emilio Jacques Rivera,436,24. Linares,emilio jacques rivera,Fuerza por Mexico
GOB-00069-3f8e5326c02446858a9490c2dcbf2f19,2021,Adrian Emilio De La Garza Santos,"29,179",24. Linares,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00070-4621c65367fb42c9b53acfba29c16af0,2021,Clara Luz Flores Carrales,"16,751",24. Linares,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00071-3594a289000a4acdaab066cc78b08c6b,2021,Fernando Alejandro Larrazabal Breton,"10,297",25. Gral. Escobedo,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00072-038136c76b1842f6921b3a1ec3edbd71,2021,Samuel Alejandro García Sepúlveda,"24,252",25. Gral. Escobedo,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00073-95ac8cb475a34c84a3970eedf71aec97,2021,Carolina Maria Garza Guerra,209,25. Gral. Escobedo,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00074-9728682030304c489fdfc940fc4bdd0e,2021,Virginia Daney Siller Tristan,164,25. Gral. Escobedo,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00075-c87584c0d2444bcbaf05c3ca4873c337,2021,Emilio Jacques Rivera,441,25. Gral. Escobedo,emilio jacques rivera,Fuerza por Mexico
GOB-00076-a843d4c9b84d4ac69509b45d5fcebd0b,2021,Adrian Emilio De La Garza Santos,"14,404",25. Gral. Escobedo,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00077-1f1dbe8566e64a4fb098e3d69ed36080,2021,Clara Luz Flores Carrales,"13,005",25. Gral. Escobedo,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00078-28e4bc34eaf74d50be8dac5bd79a66d1,2021,Fernando Alejandro Larrazabal Breton,"18,226",20. García,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00079-3a0d30b6ed0942fabda5c69cbf9af19f,2021,Samuel Alejandro García Sepúlveda,"38,030",20. García,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00080-a307b54029324b4f9f627b03e9d96aac,2021,Carolina Maria Garza Guerra,811,20. García,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00081-50e0584e92fd4762a3b6be99599eb4f0,2021,Virginia Daney Siller Tristan,459,20. García,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00082-8e78e702c1eb4f08a7eaf9fbf559d2ae,2021,Emilio Jacques Rivera,971,20. García,emilio jacques rivera,Fuerza por Mexico
GOB-00083-af4aeb70a3fa44f6b17e66d3cc5cec21,2021,Adrian Emilio De La Garza Santos,"19,965",20. García,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
